SYSTEM:task_id	INPUT:name	INPUT:playlist-1	INPUT:playlist-2	INPUT:playlist-3	INPUT:track	OUTPUT:result	CONFIDENCE:result	GOLDEN:result	
00023063ad--638f71866802550c5d059e5b	Miyagi & Эндшпиль.Silhouette	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108315330	no	99.99%	no	
00023063ad--638f71866802550c5d059e5c	GOARTUR.Иностранец	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107480583	yes	99.99%	yes	
00023063ad--638f71866802550c5d059e5d	ONEIL, ORGAN, TITOV, FAVIA.ULETAY	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107951067	no	99.99%	no	
00023063ad--638f71866802550c5d059e5e	DJ SMASH, NIVESTA.Позвони	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107314429	yes	100.00%	yes	
00023063ad--638f71866802550c5d059e5f	Леонид Агутин, JONY.Мир зеленого цвета	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108661621	no	0.13%	yes	
00023063ad--638f71866802550c5d059e60	Noize MC.Страна дождей	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108114693	no	99.99%	no	
00023063ad--638f71866802550c5d059e61	Alex Menco.Next	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108466036	no	99.99%	no	
00023063ad--638f71866802550c5d059e62	Люся Чеботина.ПЛАКАЛ ГОЛЛИВУД	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/106339740	no	99.99%	no	
00023063ad--638f71866802550c5d059e63	ANNA ASTI.По барам	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/104964266	no	99.99%	no	
00023063ad--638f71866802550c5d059e64	MACAN.Плачь, но не звони	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108103901	no	99.97%	no	
00023063ad--638f71866802550c5d059e65	Galibri & Mavik.Федерико Феллини	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/81848875	no	100.00%	no	
00023063ad--638f71866802550c5d059e66	Miyagi & Эндшпиль.Временно	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108315321	no	99.99%	no	
00023063ad--638f71866802550c5d059e67	Markul, Тося Чайкина.Стрелы	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/106246540	no	0.00%	yes	
00023063ad--638f71866802550c5d059e68	Баста.Вечно молодой	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108549701	yes	99.99%	yes	
00023063ad--638f71866802550c5d059e69	Lofi Fruits Music, Chill Fruits Music.Take Me To Church	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/88556565	yes	99.97%	yes	
00023063ad--638f71866802550c5d059e6a	Нодар Ревия.Аэропорты	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/106577846	yes	100.00%	yes	
00023063ad--638f71866802550c5d059e6b	Amirchik.Эта любовь	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/105944312	no	99.99%	no	
00023063ad--638f71866802550c5d059e6c	71 Digits, Chico Rose, Deepend.Somebody's Watching Me	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/69563104	no	0.00%	yes	
00023063ad--638f71866802550c5d059e6d	Люся Чеботина.Солнце Монако	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/93126179	no	99.99%	no	
00023063ad--638f71866802550c5d059e6e	Ваня Дмитриенко.31-я весна	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108470485	yes	99.39%	yes	
00023063ad--638f71866802550c5d059e6f	CHEBANOV.Люби меня, люби	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/109274714	yes	99.99%	yes	
00023063ad--638f71866802550c5d059e70	Mary Gu.Если в сердце живёт любовь	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/100308318	yes	99.99%	yes	
00023063ad--638f71866802550c5d059e71	Yves V, Ilkay Sencan, Emie.Not So Bad	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/61288362	no	0.00%	yes	
00023063ad--638f71866802550c5d059e72	Punkshow.Without	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108199730	no	99.98%		
00023063ad--638f71866802550c5d059e73	GAYAZOV$ BROTHER$.МАЛИНОВАЯ ЛАДА	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/93390818	no	99.99%		
