rank;artistId;artistsName;trackTitle;track_id;;;;;;;;;;;;;;
1;4611844;Miyagi & Эндшпиль;Saloon;108315318;;;;;;;;;;;;;;
2;4611844;Miyagi & Эндшпиль;Silhouette;108315330;;;;;;;;;;;;;;
3;15691816;ANNA ASTI;Ночью на кухне;108205536;;;;;;;;;;;;;;
4;3719594;Jah Khalib;Осенняя;108284286;;;;;;;;;;;;;;
5;6098375;GOARTUR;Иностранец;107480583;;;;;;;;;;;;;;
6;9987979\v12928271\v439874\v3716620;ONEIL, ORGAN, TITOV, FAVIA;ULETAY;107951067;;;;;;;;;;;;;;
7;6229247;GAYAZOV$ BROTHER$;ФАИНА;107948955;;;;;;;;;;;;;;
8;155946\v17388834;DJ SMASH, NIVESTA;Позвони;107314429;;;;;;;;;;;;;;
9;419284\v257461;Леонид Агутин, JONY;Мир зеленого цвета;108661621;;;;;;;;;;;;;;
10;160970;Noize MC;Страна дождей;108114693;;;;;;;;;;;;;;
11;5855069\v264454\v6389055\v8872513;Timran, ZELL, Batrai, Aslai;Не пускайте танцевать;68938482;;;;;;;;;;;;;;
12;2190095;Alex Menco;Next;108466036;;;;;;;;;;;;;;
13;4664209;Люся Чеботина;ПЛАКАЛ ГОЛЛИВУД;106339740;;;;;;;;;;;;;;
14;15691816;ANNA ASTI;По барам;104964266;;;;;;;;;;;;;;
15;3892062;MACAN;Плачь, но не звони;108103901;;;;;;;;;;;;;;
16;10318860;Galibri & Mavik;Федерико Феллини;81848875;;;;;;;;;;;;;;
17;4611844;Miyagi & Эндшпиль;Временно;108315321;;;;;;;;;;;;;;
18;2938031\v5599442;Markul, Тося Чайкина;Стрелы;106246540;;;;;;;;;;;;;;
19;41191;Баста;Вечно молодой;108549701;;;;;;;;;;;;;;
20;10873670\v11308902;Lofi Fruits Music, Chill Fruits Music;Take Me To Church;88556565;;;;;;;;;;;;;;
21;3193502;Нодар Ревия;Аэропорты;106577846;;;;;;;;;;;;;;
22;12456717;Amirchik;Эта любовь;105944312;;;;;;;;;;;;;;
23;9046555\v6044431\v626837;71 Digits, Chico Rose, Deepend;Somebody's Watching Me;69563104;;;;;;;;;;;;;;
24;4664209;Люся Чеботина;Солнце Монако;93126179;;;;;;;;;;;;;;
25;8341233;Punkshow;Without;108199730;;;;;;;;;;;;;;
26;6229247;GAYAZOV$ BROTHER$;МАЛИНОВАЯ ЛАДА;93390818;;;;;;;;;;;;;;
27;3884090\v10170574\v12748691;The Tech Thieves, Besomage, Meric Again;Beggin';90628948;;;;;;;;;;;;;;
28;452206;Fidel Wicked;Sunrise;28098602;;;;;;;;;;;;;;
29;4611844;Miyagi & Эндшпиль;Need me;108315328;;;;;;;;;;;;;;
30;8049580\v4891236;Imanbek, BYOR;Belly Dancer;101100444;;;;;;;;;;;;;;
31;3827925\v41098;Filatov & Karas, Мумий Тролль;Amore Море, Goodbye;85660864;;;;;;;;;;;;;;
32;4611844\v588511;Miyagi & Эндшпиль, Рем Дигга;I Got Love;35505245;;;;;;;;;;;;;;
33;8542333;SATOMIC;take it.;107550261;;;;;;;;;;;;;;
34;6774682;Miyagi & Andy Panda;Minor;68348389;;;;;;;;;;;;;;
35;2932324;Kamazz;Как ты там;99902560;;;;;;;;;;;;;;
36;8167241;Султан Лагучев;Горький вкус;76434671;;;;;;;;;;;;;;
37;5129397;HammAli & Navai;Птичка;83063895;;;;;;;;;;;;;;
38;7531870;BITTUEV;Братик;86767291;;;;;;;;;;;;;;
39;9987979\v13684802;ONEIL, SMOLA;Addicted;93173728;;;;;;;;;;;;;;
